Input masked function,Exact Match?,Expected if condition,Predicted if condition,CodeBLEU score,BLEU-4 score
"def update_job_weights(): <TAB> """"""Update job weights."""""" <TAB> for job in data_types.Job.query(): <TAB>  <TAB> multiplier = DEFAULT_MULTIPLIER <TAB>  <TAB> if environment.is_engine_fuzzer_job(job.name): <TAB>  <TAB>  <TAB> targets_count = ndb.Key(data_types.FuzzTargetsCount, job.name).get() <TAB>  <TAB>  <TAB> # If the count is 0, it may be due to a bad build or some other issue. Use <TAB>  <TAB>  <TAB> # the default weight in that case to allow for recovery. <TAB>  <TAB>  <TAB> if targets_count and targets_count.count: <TAB>  <TAB>  <TAB>  <TAB> multiplier = targets_count.count <MASK> multiplier = TARGET_COUNT_WEIGHT_CAP <TAB>  <TAB> update_job_weight(job.name, multiplier),if multiplier > TARGET_COUNT_WEIGHT_CAP :,199",FALSE,"if', ' multiplier', ' >', ' TARGET', '_', 'COUNT', '_', 'WEIGHT', '_', 'CAP', ' :', 'if', ' should', '_', 'throw', ' :',","if', ' max', ' >', ' max', ' :',",0,0
"def nested_update(org_dict, upd_dict): <TAB> for key, value in upd_dict.items(): <TAB>  <TAB> if isinstance(value, dict): <MASK> if not isinstance(org_dict[key], dict): <TAB>  <TAB>  <TAB>  <TAB>  <TAB> raise ValueError( <TAB>  <TAB>  <TAB>  <TAB>  <TAB>  <TAB> ""Mismatch between org_dict and upd_dict at node {}"".format(key) <TAB>  <TAB>  <TAB>  <TAB>  <TAB> ) <TAB>  <TAB>  <TAB>  <TAB> nested_update(org_dict[key], value) <TAB>  <TAB>  <TAB> else: <TAB>  <TAB>  <TAB>  <TAB> org_dict[key] = value <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> org_dict[key] = value,if key in org_dict :,161",TRUE,"if', ' key', ' in', ' org', '_', 'dict', ' :',","if', ' key', ' in', ' org', '_', 'dict', ' :',",0,0
"def eintr_retry_call(func, *args, **kwargs): <TAB> while True: <TAB>  <TAB> try: <TAB>  <TAB>  <TAB> return func(*args, **kwargs) <TAB>  <TAB> except EnvironmentError as e: <MASK> continue <TAB>  <TAB>  <TAB> raise,""if getattr ( e , """"errno"""" , None ) == errno . EINTR :"",79",FALSE,"if', ' getattr', ' (', ' e', ' ,', ' ""', 'errno', '""', ' ,', ' None', ' )', ' ==', ' errno', ' .', ' E', 'INT', 'R', ' :',","if', ' e', ' (', ' e', ' ,', ' ""', 'errno', '""', ' ,', ' errno', ' )', ' ==', ' errno', ' .', ' E', 'INT', 'R', ' :',",0,0
"def __init__(self, entity): <TAB> self._entity = weakref.proxy(entity) <TAB> self._observables = collections.OrderedDict() <TAB> self._keys_helper = _ObservableKeys(self._entity, self._observables) <TAB> # Ensure consistent ordering. <TAB> for attr_name in sorted(dir(type(self))): <TAB>  <TAB> type_attr = getattr(type(self), attr_name) <MASK> self._observables[attr_name] = getattr(self, attr_name),""if isinstance ( type_attr , define . observable ) :"",131",FALSE,"if', ' isinstance', ' (', ' type', '_', 'attr', ' ,', ' define', ' .', ' observable', ' )', ' :', 'if', ' start', ' ==', ' last', ' :',","if', ' type', ' (', ' type', '_', 'attr', ' ,', ' (', ' .', ' Attribute', '_', ' :',",0,0
"def elfheader(): <TAB> local_path = pwndbg.file.get_file(pwndbg.proc.exe) <TAB> with open(local_path, ""rb"") as f: <TAB>  <TAB> elffile = ELFFile(f) <TAB>  <TAB> sections = [] <TAB>  <TAB> for section in elffile.iter_sections(): <TAB>  <TAB>  <TAB> start = section[""sh_addr""] <TAB>  <TAB>  <TAB> # Don't print sections that aren't mapped into memory <MASK> continue <TAB>  <TAB>  <TAB> size = section[""sh_size""] <TAB>  <TAB>  <TAB> sections.append((start, start + size, section.name)) <TAB>  <TAB> sections.sort() <TAB>  <TAB> for start, end, name in sections: <TAB>  <TAB>  <TAB> print(""%#x - %#x "" % (start, end), name),if start == 0 :,189",TRUE,"if', ' start', ' ==', ' 0', ' :',","if', ' start', ' ==', ' 0', ' :',",0,0
"def orbit(): <TAB> """"""Define the internal thread for running the orbit."""""" <TAB> for point in points: <TAB>  <TAB> self.set_position(point) <TAB>  <TAB> self.set_focus(focus) <TAB>  <TAB> self.set_viewup(viewup) <TAB>  <TAB> self.renderer.ResetCameraClippingRange() <TAB>  <TAB> self.render() <TAB>  <TAB> time.sleep(step) <MASK> self.write_frame(),if write_frames :,107",FALSE,"if', ' write', '_', 'frames', ' :', 'el',","if', ' self', '_', 'frame', ' :',",0,0
"def json_format(self): <TAB> """"""Returns the integer value formatted as a JSON literal"""""" <TAB> fmt = self._jsonfmt <TAB> if fmt == NUMBER_FORMAT_HEX: <TAB>  <TAB> return format(self, ""#x"") <TAB> elif fmt == NUMBER_FORMAT_OCTAL: <TAB>  <TAB> return format(self, ""#o"") <TAB> elif fmt == NUMBER_FORMAT_BINARY: <TAB>  <TAB> return format(self, ""#b"") <TAB> elif fmt == NUMBER_FORMAT_LEGACYOCTAL: <TAB>  <TAB> if self == 0: <TAB>  <TAB>  <TAB> return ""0""  # For some reason Python's int doesn't do '00' <MASK> return ""-0%o"" % (-self) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> return ""0%o"" % self <TAB> else: <TAB>  <TAB> return str(self),elif self < 0 :,189",FALSE,"if', ' self', ' <', ' 0', ' :',","if', ' self', ' ==', ' 0', ' :',",0,0
"def parseTime(timeStr): <TAB> regex = re.compile(constants.PARSE_TIME_REGEX) <TAB> parts = regex.match(timeStr) <TAB> if not parts: <TAB>  <TAB> return <TAB> parts = parts.groupdict() <TAB> time_params = {} <TAB> for (name, param) in parts.items(): <MASK> if name == ""miliseconds"": <TAB>  <TAB>  <TAB>  <TAB> time_params[""microseconds""] = int(param) * 1000 <TAB>  <TAB>  <TAB> else: <TAB>  <TAB>  <TAB>  <TAB> time_params[name] = int(param) <TAB> return datetime.timedelta(**time_params).total_seconds(),if param :,146",FALSE,"if', ' param', ' :',","if', ' param', ' ==',",0,0
"def build_extension(self, ext): <TAB> ext._convert_pyx_sources_to_lang() <TAB> _compiler = self.compiler <TAB> try: <TAB>  <TAB> if isinstance(ext, Library): <TAB>  <TAB>  <TAB> self.compiler = self.shlib_compiler <TAB>  <TAB> _build_ext.build_extension(self, ext) <MASK> cmd = self.get_finalized_command(""build_py"").build_lib <TAB>  <TAB>  <TAB> self.write_stub(cmd, ext) <TAB> finally: <TAB>  <TAB> self.compiler = _compiler,if ext . _needs_stub :,134",FALSE,"if', ' ext', ' .', ' _', 'needs', '_', 'stub', ' :',","if', ' self', ' .', ' is', 'is', '_', 'compile', ' (',",0,0
"def __init__(self, type, data, name=None): <TAB> Constant.__init__(self, type, data, name) <TAB> self.tag.unique_value = None <TAB> if isinstance(data, np.ndarray) and data.ndim > 0: <TAB>  <TAB> flat_data = data.ravel() <MASK> if (flat_data == flat_data[0]).all(): <TAB>  <TAB>  <TAB>  <TAB> self.tag.unique_value = flat_data[0],if flat_data . shape [ 0 ] :,118",FALSE,"if', ' flat', '_', 'data', ' .', ' shape', ' [', ' 0', ' ]', ' :', 'el',","if', ' len', '_', 'data', ' .', ' ndim', ' ==', ' 0', ' ]', ' .',",0,0
"def _find_machine(deb_arch): <TAB> for machine in _ARCH_TRANSLATIONS: <TAB>  <TAB> if _ARCH_TRANSLATIONS[machine].get(""deb"", """") == deb_arch: <TAB>  <TAB>  <TAB> return machine <MASK> return machine <TAB> raise errors.SnapcraftEnvironmentError( <TAB>  <TAB> ""Cannot set machine from deb_arch {!r}"".format(deb_arch) <TAB> ),""elif _ARCH_TRANSLATIONS [ machine ] . get ( """"uts_machine"""" , """""""" ) == deb_arch :"",124",FALSE,"if', ' _', 'ARCH', '_', 'TRANSL', 'ATIONS', ' [', ' machine', ' ]', ' .', ' get', ' (', ' ""', 'uts', '_', 'machine', '""', ' ,', ' """"', ' )', ' ==', ' deb', '_', 'arch', ' :',","if', ' _', 'ARCH', '_', 'TRANSL', 'ATIONS', ' [', ' machine', ' ]', ' .', ' get', ' (', ' ""', 'deb', '""', 'in', '""', ' ,', ' """"', ' )', ' ==', ' deb', '_', 'arch', ' :',",0,0
"def fields_for_form(form, only_fields, exclude_fields): <TAB> fields = OrderedDict() <TAB> for name, field in form.fields.items(): <TAB>  <TAB> is_not_in_only = only_fields and name not in only_fields <TAB>  <TAB> is_excluded = ( <TAB>  <TAB>  <TAB> name <TAB>  <TAB>  <TAB> in exclude_fields  # or <TAB>  <TAB>  <TAB> # name in already_created_fields <TAB>  <TAB> ) <MASK> continue <TAB>  <TAB> fields[name] = convert_form_field(field) <TAB> return fields,if is_not_in_only or is_excluded :,139",TRUE,"if', ' is', '_', 'not', '_', 'in', '_', 'only', ' or', ' is', '_', 'excluded', ' :',","if', ' is', '_', 'not', '_', 'in', '_', 'only', ' or', ' is', '_', 'excluded', ' :',",0,0
"def wait_services_ready(selectors, min_counts, count_fun, timeout=None): <TAB> readies = [0] * len(selectors) <TAB> start_time = time.time() <TAB> while True: <TAB>  <TAB> all_satisfy = True <TAB>  <TAB> for idx, selector in enumerate(selectors): <TAB>  <TAB>  <TAB> if readies[idx] < min_counts[idx]: <TAB>  <TAB>  <TAB>  <TAB> all_satisfy = False <TAB>  <TAB>  <TAB>  <TAB> readies[idx] = count_fun(selector) <TAB>  <TAB>  <TAB>  <TAB> break <MASK> break <TAB>  <TAB> if timeout and timeout + start_time < time.time(): <TAB>  <TAB>  <TAB> raise TimeoutError(""Wait cluster start timeout"") <TAB>  <TAB> time.sleep(1),if all_satisfy :,167",TRUE,"if', ' all', '_', 'sat', 'isf', 'y', ' :',","if', ' all', '_', 'sat', 'isf', 'y', ' :',",0,0
"def count_brokers(self): <TAB> self.nb_brokers = 0 <TAB> for broker in self.brokers: <MASK> self.nb_brokers += 1 <TAB> for realm in self.higher_realms: <TAB>  <TAB> for broker in realm.brokers: <TAB>  <TAB>  <TAB> if not broker.spare and broker.manage_sub_realms: <TAB>  <TAB>  <TAB>  <TAB> self.nb_brokers += 1,if not broker . spare :,118",FALSE,"if', ' not', ' broker', ' .', ' sp', 'are', ' :',","if', ' not', ' broker', ' .', ' sp', 'are', ' and',",0,0
"def _adapt_polymorphic_element(self, element): <TAB> if ""parententity"" in element._annotations: <TAB>  <TAB> search = element._annotations[""parententity""] <TAB>  <TAB> alias = self._polymorphic_adapters.get(search, None) <MASK> return alias.adapt_clause(element) <TAB> if isinstance(element, expression.FromClause): <TAB>  <TAB> search = element <TAB> elif hasattr(element, ""table""): <TAB>  <TAB> search = element.table <TAB> else: <TAB>  <TAB> return None <TAB> alias = self._polymorphic_adapters.get(search, None) <TAB> if alias: <TAB>  <TAB> return alias.adapt_clause(element),if alias :,157",TRUE,"if', ' alias', ' :',","if', ' alias', ' :',",0,0
"def get_all_methods(): <TAB> estimators = all_estimators() <TAB> for name, Estimator in estimators: <TAB>  <TAB> if name.startswith(""_""): <TAB>  <TAB>  <TAB> # skip private classes <TAB>  <TAB>  <TAB> continue <TAB>  <TAB> methods = [] <TAB>  <TAB> for name in dir(Estimator): <TAB>  <TAB>  <TAB> if name.startswith(""_""): <TAB>  <TAB>  <TAB>  <TAB> continue <TAB>  <TAB>  <TAB> method_obj = getattr(Estimator, name) <MASK> methods.append(name) <TAB>  <TAB> methods.append(None) <TAB>  <TAB> for method in sorted(methods, key=lambda x: str(x)): <TAB>  <TAB>  <TAB> yield Estimator, method,""if hasattr ( method_obj , """"__call__"""" ) or isinstance ( method_obj , property ) :"",161",FALSE,"if', ' hasattr', ' (', ' method', '_', 'obj', ' ,', ' ""__', 'call', '__""', ' )', ' or', ' isinstance', ' (', ' method', '_', 'obj', ' ,', ' property', ' )', ' :', 'el',","if', ' method', ' (', ' method', '_', 'obj', ' ,', ' ""', 'getitem', '__""', ' )', ' :', ' method', ' (', ' method', '_', 'obj', ' ,', ' method', ' )', ' :',",0,0
"def __call__(self, es, params): <TAB> ops = 0 <TAB> indices = mandatory(params, ""indices"", self) <TAB> only_if_exists = params.get(""only-if-exists"", False) <TAB> request_params = params.get(""request-params"", {}) <TAB> for index_name in indices: <TAB>  <TAB> if not only_if_exists: <TAB>  <TAB>  <TAB> es.indices.delete(index=index_name, params=request_params) <TAB>  <TAB>  <TAB> ops += 1 <MASK> self.logger.info(""Index [%s] already exists. Deleting it."", index_name) <TAB>  <TAB>  <TAB> es.indices.delete(index=index_name, params=request_params) <TAB>  <TAB>  <TAB> ops += 1 <TAB> return ops, ""ops"",elif only_if_exists and es . indices . exists ( index = index_name ) :,198",FALSE,"if', ' only', '_',","if', ' index', '_',",0,0
"def get(): <TAB> result = [] <TAB> for b in self.key_bindings: <MASK> match = True <TAB>  <TAB>  <TAB> for i, j in zip(b.keys, keys): <TAB>  <TAB>  <TAB>  <TAB> if i != j and i != Keys.Any: <TAB>  <TAB>  <TAB>  <TAB>  <TAB> match = False <TAB>  <TAB>  <TAB>  <TAB>  <TAB> break <TAB>  <TAB>  <TAB> if match: <TAB>  <TAB>  <TAB>  <TAB> result.append(b) <TAB> return result,if len ( keys ) < len ( b . keys ) :,113",FALSE,"if', '_', 'exists', ' and', ' es', ' .', ' indices', ' .', ' exists', ' (', ' index', ' =', ' index', '_', 'name', ' )', ' :',","if', '_', 'exists', ' :', ' index', ' .', ' indices', ' .', ' exists', ' (', ' index', ' =', ' index', '_', 'name', ' )', ' :',",0,0
"def autocommitter(): <TAB> while True: <TAB>  <TAB> try: <TAB>  <TAB>  <TAB> if not self._running: <TAB>  <TAB>  <TAB>  <TAB> break <MASK> self._auto_commit() <TAB>  <TAB>  <TAB> self._cluster.handler.sleep(self._auto_commit_interval_ms / 1000) <TAB>  <TAB> except ReferenceError: <TAB>  <TAB>  <TAB> break <TAB>  <TAB> except Exception: <TAB>  <TAB>  <TAB> # surface all exceptions to the main thread <TAB>  <TAB>  <TAB> self._worker_exception = sys.exc_info() <TAB>  <TAB>  <TAB> break <TAB> log.debug(""Autocommitter thread exiting""),if self . _auto_commit_enable :,141",FALSE,"if', ' len', ' (', ' keys', ' )', ' <', ' len', ' (', ' b', ' .', ' keys', ' )', ' :',","if', ' b', ' (', ' b', ' )', ' ==', ' len', ' (', ' b', ' .', ' keys', ' )', ' :',",0,0
"def on_conflict(self, *target_fields: Union[str, Term]) -> ""PostgreSQLQueryBuilder"": <TAB> if not self._insert_table: <TAB>  <TAB> raise QueryException(""On conflict only applies to insert query"") <TAB> self._on_conflict = True <TAB> for target_field in target_fields: <MASK> self._on_conflict_fields.append(self._conflict_field_str(target_field)) <TAB>  <TAB> elif isinstance(target_field, Term): <TAB>  <TAB>  <TAB> self._on_conflict_fields.append(target_field),""if isinstance ( target_field , str ) :"",141",TRUE,"if', ' isinstance', ' (', ' arg', '_', 'type', ' ,', ' Scalar', 'Arg', ' )', ' :',","if', ' isinstance', ' (', ' arg', '_', 'type', ' ,', ' Scalar', 'Arg', ' )', ' :',",0,0
"""def autocommitter(): <TAB> while True: <TAB>  <TAB> try: <TAB>  <TAB>  <TAB> if not self._running: <TAB>  <TAB>  <TAB>  <TAB> break <MASK> self._auto_commit() <TAB>  <TAB>  <TAB> self._cluster.handler.sleep(self._auto_commit_interval_ms / 1000) <TAB>  <TAB> except ReferenceError: <TAB>  <TAB>  <TAB> break <TAB>  <TAB> except Exception: <TAB>  <TAB>  <TAB> # surface all exceptions to the main thread <TAB>  <TAB>  <TAB> self._worker_exception = sys.exc_info() <TAB>  <TAB>  <TAB> break <TAB> log.debug(""""Autocommitter thread exiting"""")"",if self . _auto_commit_enable :,141",FALSE,"if', ' self', ' .', ' _', 'auto', '_', 'commit', '_', 'enable', ' :',","if', ' self', ' .', ' _', 'auto', '_', 'commit', '_', 'interval', ' :',",0,0
"""def on_conflict(self, *target_fields: Union[str, Term]) -> """"PostgreSQLQueryBuilder"""": <TAB> if not self._insert_table: <TAB>  <TAB> raise QueryException(""""On conflict only applies to insert query"""") <TAB> self._on_conflict = True <TAB> for target_field in target_fields: <MASK> self._on_conflict_fields.append(self._conflict_field_str(target_field)) <TAB>  <TAB> elif isinstance(target_field, Term): <TAB>  <TAB>  <TAB> self._on_conflict_fields.append(target_field)"",""if isinstance ( target_field , str ) :"",141",TRUE,"if', ' isinstance', ' (', ' target', '_', 'field', ' ,', ' str', ' )', ' :',","if', ' isinstance', ' (', ' target', '_', 'field', ' ,', ' str', ' )', ' :',",0,0
"def change_TV_DOWNLOAD_DIR(tv_download_dir): <TAB> if tv_download_dir == """": <TAB>  <TAB> sickbeard.TV_DOWNLOAD_DIR = """" <TAB>  <TAB> return True <TAB> if os.path.normpath(sickbeard.TV_DOWNLOAD_DIR) != os.path.normpath(tv_download_dir): <MASK> sickbeard.TV_DOWNLOAD_DIR = os.path.normpath(tv_download_dir) <TAB>  <TAB>  <TAB> logger.log(u""Changed TV download folder to "" + tv_download_dir) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> return False <TAB> return True,if helpers . makeDir ( tv_download_dir ) :,157",FALSE,"if', ' helpers', ' .', ' make', 'Dir', ' (', ' tv', '_', 'download', '_', 'dir', ' )', ' :',","if', ' os', ' .', ' is', '_', ' (', ' s', '_', 'download', '_', 'dir', ' )', ' :',",0,0
"def save_config(self, cmd=""save config"", confirm=True, confirm_response=""y""): <TAB> """"""Saves Config."""""" <TAB> self.enable() <TAB> if confirm: <TAB>  <TAB> output = self.send_command_timing(command_string=cmd) <MASK> output += self.send_command_timing(confirm_response) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> # Send enter by default <TAB>  <TAB>  <TAB> output += self.send_command_timing(self.RETURN) <TAB> else: <TAB>  <TAB> # Some devices are slow so match on trailing-prompt if you can <TAB>  <TAB> output = self.send_command(command_string=cmd) <TAB> return output,if confirm_response :,159",TRUE,"if', ' confirm', '_', 'response', ' :',","if', ' confirm', '_', 'response', ' :',",0,0
"def apply_gradient_for_batch(inputs, labels, weights, loss): <TAB> with tf.GradientTape() as tape: <TAB>  <TAB> outputs = self.model(inputs, training=True) <MASK> outputs = [outputs] <TAB>  <TAB> if self._loss_outputs is not None: <TAB>  <TAB>  <TAB> outputs = [outputs[i] for i in self._loss_outputs] <TAB>  <TAB> batch_loss = loss(outputs, labels, weights) <TAB> if variables is None: <TAB>  <TAB> vars = self.model.trainable_variables <TAB> else: <TAB>  <TAB> vars = variables <TAB> grads = tape.gradient(batch_loss, vars) <TAB> self._tf_optimizer.apply_gradients(zip(grads, vars)) <TAB> self._global_step.assign_add(1) <TAB> return batch_loss,""if isinstance ( outputs , tf . Tensor ) :"",193",FALSE,"if', ' isinstance', ' (', ' outputs', ' ,', ' tf', ' .', ' Tensor', ' )', ' :',","if', ' isinstance', ' (', ' outputs', ' ,', ' list', ' .', ' Tensor', ' )', ' :',",0,0
"def sort(self, items): <TAB> slow_sorts = [] <TAB> switch_slow = False <TAB> for sort in reversed(self.sorts): <MASK> slow_sorts.append(sort) <TAB>  <TAB> elif sort.order_clause() is None: <TAB>  <TAB>  <TAB> switch_slow = True <TAB>  <TAB>  <TAB> slow_sorts.append(sort) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> pass <TAB> for sort in slow_sorts: <TAB>  <TAB> items = sort.sort(items) <TAB> return items,if switch_slow :,121",TRUE,"if', ' switch', '_', 's', 'low', ' :',","if', ' switch', '_', 's', 'low', ' :',",0,0
"def getmod(self, nm): <TAB> mod = None <TAB> for thing in self.path: <TAB>  <TAB> if isinstance(thing, basestring): <TAB>  <TAB>  <TAB> owner = self.shadowpath.get(thing, -1) <TAB>  <TAB>  <TAB> if owner == -1: <TAB>  <TAB>  <TAB>  <TAB> owner = self.shadowpath[thing] = self.__makeOwner(thing) <MASK> mod = owner.getmod(nm) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> mod = thing.getmod(nm) <TAB>  <TAB> if mod: <TAB>  <TAB>  <TAB> break <TAB> return mod,if owner :,137",TRUE,"if', ' owner', ' :',","if', ' owner', ' :',",0,0
"def has(self, key): <TAB> filename = self._get_filename(key) <TAB> try: <TAB>  <TAB> with open(filename, ""rb"") as f: <TAB>  <TAB>  <TAB> pickle_time = pickle.load(f) <MASK> return True <TAB>  <TAB>  <TAB> else: <TAB>  <TAB>  <TAB>  <TAB> os.remove(filename) <TAB>  <TAB>  <TAB>  <TAB> return False <TAB> except (IOError, OSError, pickle.PickleError): <TAB>  <TAB> return False,if pickle_time == 0 or pickle_time >= time ( ) :,117",FALSE,"if', ' pickle', '_', 'time', ' ==', ' 0', ' or', ' pickle', '_', 'time', ' >=', ' time', ' (', ' )', ' :',","if', ' pickle', '_', 'time', ' .', ' time', ' :', ' pickle', '_', 'time', ' <', ' 0', ' .', ' )', ' :', 'if', ' i', ' %', ' 8', ' :',",0,0
"def forward(self, hs): <TAB> h = self.c0(hs[-1]) <TAB> for i in range(1, 8): <TAB>  <TAB> h = F.concat([h, hs[-i - 1]]) <MASK> h = self[""c%d"" % i](h) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> h = self.c7(h) <TAB> return h,if i < 7 :,96",FALSE,"if', ' arg', ' in', ' self', ' .', ' __', 'dict', '__', ' :',","if', ' arg', ' in', ' self', ' .', ' defaults', 'dict', '__', ' :',",0,0
"def _apply_operation(self, values): <TAB> """"""Method that defines the less-than-or-equal operation"""""" <TAB> arg1 = next(values) <TAB> for strict in self._strict: <TAB>  <TAB> arg2 = next(values) <TAB>  <TAB> if strict: <TAB>  <TAB>  <TAB> if not (arg1 < arg2): <TAB>  <TAB>  <TAB>  <TAB> return False <TAB>  <TAB> else: <MASK> return False <TAB>  <TAB> arg1 = arg2 <TAB> return True,if not ( arg1 <= arg2 ) :,118",FALSE,"if', ' not', ' (', ' arg', '1', ' <=', ' arg', '2', ' )', ' :',","if', ' not', ' (', ' arg', '1', ' >', ' arg', '2', ' )', ' :',",0,0
"def i_pshufb(self, op, off=0): <TAB> dst = self.getOperValue(op, off) <TAB> src = self.getOperValue(op, off) <TAB> res = 0 <TAB> if op.opers[0].tsize == 8: <TAB>  <TAB> mask = 0x07 <TAB> else: <TAB>  <TAB> mask = 0x0F <TAB> for i in range(op.opers[0].tsize): <TAB>  <TAB> shfl = src & (1 << ((i * 8) + 7)) <MASK> s = 0 <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> indx = (src >> (i * 8)) & mask <TAB>  <TAB>  <TAB> s = (src >> (indx * 8)) & 0xFF <TAB>  <TAB> res |= s << (i * 8) <TAB> self.setOperValue(op, 0, res),if shfl :,199",FALSE,"if', ' sh', 'fl', ' :',","if', ' sh', 'fl', ' ==',",0,0
"def report_out_of_quota(self, appid): <TAB> self.logger.warn(""report_out_of_quota:%s"", appid) <TAB> with self.lock: <MASK> self.out_of_quota_appids.append(appid) <TAB>  <TAB> try: <TAB>  <TAB>  <TAB> self.working_appid_list.remove(appid) <TAB>  <TAB> except: <TAB>  <TAB>  <TAB> pass,if appid not in self . out_of_quota_appids :,115",TRUE,"if', ' appid', ' not', ' in', ' self', ' .', ' out', '_', 'of', '_', 'quota', '_', 'app', 'ids', ' :',","if', ' appid', ' not', ' in', ' self', ' .', ' out', '_', 'of', '_', 'quota', '_', 'app', 'ids', ' :',",0,0
"def to_py(self, value: _StrUnset) -> _StrUnsetNone: <TAB> self._basic_py_validation(value, str) <TAB> if isinstance(value, usertypes.Unset): <TAB>  <TAB> return value <TAB> elif not value: <TAB>  <TAB> return None <TAB> value = os.path.expandvars(value) <TAB> value = os.path.expanduser(value) <TAB> try: <MASK> raise configexc.ValidationError(value, ""must be a valid directory!"") <TAB>  <TAB> if not os.path.isabs(value): <TAB>  <TAB>  <TAB> raise configexc.ValidationError(value, ""must be an absolute path!"") <TAB> except UnicodeEncodeError as e: <TAB>  <TAB> raise configexc.ValidationError(value, e) <TAB> return value,if not os . path . isdir ( value ) :,181",TRUE,"if', ' not', ' os', ' .', ' path', ' .', ' isdir', ' (', ' value', ' )', ' :',","if', ' not', ' os', ' .', ' path', ' .', ' isdir', ' (', ' value', ' )', ' :',",0,0
"def findinDoc(self, tagpath, pos, end): <TAB> result = None <TAB> if end == -1: <TAB>  <TAB> end = self.docSize <TAB> else: <TAB>  <TAB> end = min(self.docSize, end) <TAB> foundat = -1 <TAB> for j in range(pos, end): <TAB>  <TAB> item = self.docList[j] <TAB>  <TAB> if item.find(b""="") >= 0: <TAB>  <TAB>  <TAB> (name, argres) = item.split(b""="", 1) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> name = item <TAB>  <TAB>  <TAB> argres = """" <MASK> tagpath = tagpath.encode(""utf-8"") <TAB>  <TAB> if name.endswith(tagpath): <TAB>  <TAB>  <TAB> result = argres <TAB>  <TAB>  <TAB> foundat = j <TAB>  <TAB>  <TAB> break <TAB> return foundat, result,""if isinstance ( tagpath , str ) :"",189",FALSE,"if', ' isinstance', ' (', ' tag', 'path', ' ,', ' str', ' )', ' :',","if', ' tag', ' (', ' tag', 'path', ' ,', ' bytes', ' )', ' :',",0,0
"def has_safe_repr(value): <TAB> """"""Does the node have a safe representation?"""""" <TAB> if value is None or value is NotImplemented or value is Ellipsis: <TAB>  <TAB> return True <TAB> if isinstance(value, (bool, int, long, float, complex, basestring, xrange, Markup)): <TAB>  <TAB> return True <TAB> if isinstance(value, (tuple, list, set, frozenset)): <TAB>  <TAB> for item in value: <TAB>  <TAB>  <TAB> if not has_safe_repr(item): <TAB>  <TAB>  <TAB>  <TAB> return False <TAB>  <TAB> return True <TAB> elif isinstance(value, dict): <TAB>  <TAB> for key, value in value.iteritems(): <TAB>  <TAB>  <TAB> if not has_safe_repr(key): <TAB>  <TAB>  <TAB>  <TAB> return False <MASK> return False <TAB>  <TAB> return True <TAB> return False,if not has_safe_repr ( value ) :,192",TRUE,"if', ' not', ' has', '_', 'safe', '_', 'repr', ' (', ' value', ' )', ' :',","if', ' not', ' has', '_', 'safe', '_', 'repr', ' (', ' value', ' )', ' :',",0,0
"def run(self): <TAB> # Make some objects emit lights <TAB> for obj in bpy.context.scene.objects: <MASK> obj_id = obj[""modelId""] <TAB>  <TAB>  <TAB> # In the case of the lamp <TAB>  <TAB>  <TAB> if obj_id in self.lights: <TAB>  <TAB>  <TAB>  <TAB> self._make_lamp_emissive(obj, self.lights[obj_id]) <TAB>  <TAB>  <TAB> # Make the windows emit light <TAB>  <TAB>  <TAB> if obj_id in self.windows: <TAB>  <TAB>  <TAB>  <TAB> self._make_window_emissive(obj) <TAB>  <TAB>  <TAB> # Also make ceilings slightly emit light <TAB>  <TAB>  <TAB> if obj.name.startswith(""Ceiling#""): <TAB>  <TAB>  <TAB>  <TAB> self._make_ceiling_emissive(obj),""if """"modelId"""" in obj :"",190",FALSE,"if', ' ""', 'model', 'Id', '""', ' in', ' obj', ' :',","if', ' obj', 'model', 'Id', '""', ' in', ' obj', ' :',",0,0
"def bitvector_case_fn( <TAB> rng: Random, mode: RandomizationMode, size: int, invalid_making_pos: int = None): <TAB> bits = get_random_ssz_object( <TAB>  <TAB> rng, <TAB>  <TAB> Bitvector[size], <TAB>  <TAB> max_bytes_length=(size + 7) // 8, <TAB>  <TAB> max_list_length=size, <TAB>  <TAB> mode=mode, <TAB>  <TAB> chaos=False, <TAB> ) <TAB> if invalid_making_pos is not None and invalid_making_pos <= size: <TAB>  <TAB> already_invalid = False <TAB>  <TAB> for i in range(invalid_making_pos, size): <MASK> already_invalid = True <TAB>  <TAB> if not already_invalid: <TAB>  <TAB>  <TAB> bits[invalid_making_pos] = True <TAB> return bits,if bits [ i ] :,196",TRUE,"if', ' bits', ' [', ' i', ' ]', ' :',","if', ' bits', ' [', ' i', ' ]', ' :',",0,0
