cleaned_method,target_block,tokens_in_method
"def _get_conflicts_by_artifacts(self, artifacts_by_file_name, jar_rules): <TAB> conflicts_by_artifacts = defaultdict(set) <TAB> for (file_name, artifacts) in artifacts_by_file_name.items(): <TAB>  <TAB> if (not artifacts) or len(artifacts) < 2: <TAB>  <TAB>  <TAB> continue <TAB>  <TAB> if self._is_excluded(file_name): <TAB>  <TAB>  <TAB> continue <MASK> continue <TAB>  <TAB> conflicts_by_artifacts[tuple(sorted(str(a) for a in artifacts))].add(file_name) <TAB> return conflicts_by_artifacts","if self . _jar_rule_handled ( file_name , jar_rules ) :",160
"def lift_item(self, context): <TAB> if self.up: <TAB>  <TAB> sock_ind = list(self.inputs).index(context.socket) <MASK> self.inputs.move(sock_ind, sock_ind - 1) <TAB>  <TAB> self.up = False",if sock_ind > 0 :,74
"def test_conversion_reversible(self): <TAB> tokenizers = self.get_tokenizers(do_lower_case=False) <TAB> for tokenizer in tokenizers: <TAB>  <TAB> with self.subTest(f""{tokenizer.__class__.__name__}""): <TAB>  <TAB>  <TAB> vocab = tokenizer.get_vocab() <TAB>  <TAB>  <TAB> for word, ind in vocab.items(): <MASK> continue <TAB>  <TAB>  <TAB>  <TAB> self.assertEqual(tokenizer.convert_tokens_to_ids(word), ind) <TAB>  <TAB>  <TAB>  <TAB> self.assertEqual(tokenizer.convert_ids_to_tokens(ind), word)",if word == tokenizer . unk_token :,145
"def rotate_vecs_constant_mat(props, mat, output_numpy, np_local_match, result): <TAB> if len(props[1]) > 1: <TAB>  <TAB> rotated = np_rotate_many_centers(props, mat, np_local_match) <TAB>  <TAB> result.append(rotated if output_numpy else rotated.tolist()) <TAB> else: <MASK> result.append(np_rotate_one_center(props, mat)) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> result.append(rotate_one_center(props, mat))",if output_numpy :,135
"def _analyze_unittests(self, plugin_type): <TAB> plugins = self.w3afcore.plugins.get_plugin_list(plugin_type) <TAB> missing = [] <TAB> for plugin in plugins: <MASK> missing.append(plugin) <TAB> if missing: <TAB>  <TAB> msg = ""The following %s plugins dont have unittests: %s"" % ( <TAB>  <TAB>  <TAB> plugin_type, <TAB>  <TAB>  <TAB> "", "".join(sorted(missing)), <TAB>  <TAB> ) <TAB>  <TAB> self.assertTrue(False, msg)","if not self . _has_test ( plugin_type , plugin ) :",136
"def _Global(self, node): <TAB> module = self.get_module() <TAB> for name in node.names: <MASK> try: <TAB>  <TAB>  <TAB>  <TAB> pyname = module[name] <TAB>  <TAB>  <TAB> except exceptions.AttributeNotFoundError: <TAB>  <TAB>  <TAB>  <TAB> pyname = pynames.AssignedName(node.lineno) <TAB>  <TAB> self.names[name] = pyname",if module is not None :,95
"def run(self): <TAB> iam_resource = confidant.clients.get_boto_resource(""iam"") <TAB> grants = keymanager.get_grants() <TAB> try: <TAB>  <TAB> roles = [x for x in iam_resource.roles.all()] <TAB> except ClientError: <TAB>  <TAB> logger.error(""Failed to fetch IAM roles."") <TAB>  <TAB> return <TAB> services = [] <TAB> for service in Service.data_type_date_index.query(""service""): <TAB>  <TAB> services.append(service.id) <TAB> for role in roles: <MASK> logger.info(""Managing grants for {0}."".format(role.name)) <TAB>  <TAB>  <TAB> keymanager._ensure_grants(role, grants) <TAB> logger.info(""Finished managing grants."")",if role . name in services :,185
"def __setitem__(self, index, entity): <TAB> if isinstance(index, slice): <TAB>  <TAB> step = index.step or 1 <TAB>  <TAB> start = index.start or 0 <MASK> start += len(self) <TAB>  <TAB> stop = index.stop or len(self) <TAB>  <TAB> if stop < 0: <TAB>  <TAB>  <TAB> stop += len(self) <TAB>  <TAB> for i in range(start, stop, step): <TAB>  <TAB>  <TAB> self.__setitem__(i, entity[i]) <TAB> else: <TAB>  <TAB> self._order_entity(index, entity, True) <TAB>  <TAB> super(OrderingList, self).__setitem__(index, entity)",if start < 0 :,153
"def get_required_sensor_refs(self): <TAB> with open(self.partition_file, ""r"") as f: <TAB>  <TAB> partition_map = yaml.safe_load(f) <TAB>  <TAB> sensor_refs = partition_map.get(self.sensor_node_name, None) <MASK> raise SensorPartitionMapMissingException( <TAB>  <TAB>  <TAB>  <TAB> ""Sensor partition not found for %s in %s."" <TAB>  <TAB>  <TAB>  <TAB> % (self.sensor_node_name, self.partition_file) <TAB>  <TAB>  <TAB> ) <TAB>  <TAB> self._supported_sensor_refs = set(sensor_refs) <TAB>  <TAB> return self._supported_sensor_refs",if sensor_refs is None :,161
"def handle_mouse_event(self, mouse_event): <TAB> # unfinished <TAB> for row in self._my_widgets: <TAB>  <TAB> for c in row: <MASK> if c.grid_current_value_index != -1: <TAB>  <TAB>  <TAB>  <TAB>  <TAB> self.edit_cell = list(c.grid_current_value_index) <TAB> self.display()",if c . intersted_in_mouse_event ( mouse_event ) :,106
"def dequeue(self): <TAB> if self.blocking: <TAB>  <TAB> try: <TAB>  <TAB>  <TAB> # BZPOPMIN returns (key, data, score). <TAB>  <TAB>  <TAB> _, res, _ = self.conn.bzpopmin(self.queue_key, timeout=self.read_timeout) <TAB>  <TAB> except (ConnectionError, TypeError, IndexError): <TAB>  <TAB>  <TAB> # Unfortunately, there is no way to differentiate a socket <TAB>  <TAB>  <TAB> # timing out and a host being unreachable. <TAB>  <TAB>  <TAB> return <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> return res[8:] <TAB> else: <TAB>  <TAB> # ZPOPMIN returns a list of (data, score) 2-tuples. <TAB>  <TAB> items = self.conn.zpopmin(self.queue_key, count=1) <MASK> return items[0][0][8:]  # [(prefix+data, score)].",if items :,199
"def decorate(request, *args, **kwargs): <TAB> doc_id = {} <TAB> try: <TAB>  <TAB> if request.GET.get(""uuid""): <TAB>  <TAB>  <TAB> doc_id[""uuid""] = request.GET.get(""uuid"") <MASK> doc_id[""id""] = kwargs[""doc_id""] <TAB>  <TAB> if doc_id: <TAB>  <TAB>  <TAB> doc2 = Document2.objects.get(**doc_id) <TAB>  <TAB>  <TAB> doc2.doc.get().can_read_or_exception(request.user) <TAB> except Document2.DoesNotExist: <TAB>  <TAB> raise PopupException(_(""Job %(id)s does not exist"") % {""id"": doc_id}) <TAB> return view_func(request, *args, **kwargs)","elif ""doc_id"" in kwargs :",180
"def __getitem__(self, key): <TAB> try: <TAB>  <TAB> return super(PartialKeyDict, self).__getitem__(key) <TAB> except KeyError: <TAB>  <TAB> removed_parent, key = self._remove_parent(key) <MASK> full_key = self._find_key(key) <TAB>  <TAB>  <TAB> if full_key: <TAB>  <TAB>  <TAB>  <TAB> if removed_parent: <TAB>  <TAB>  <TAB>  <TAB>  <TAB> key, full_key = self._add_parent(key, full_key) <TAB>  <TAB>  <TAB>  <TAB> self[key] = full_key <TAB>  <TAB>  <TAB>  <TAB> return full_key <TAB>  <TAB> six.reraise(*sys.exc_info())",if len ( key ) == 13 :,156
"def current_dict_key(cursor_offset, line): <TAB> """"""If in dictionary completion, return the current key"""""" <TAB> for m in current_dict_key_re.finditer(line): <MASK> return LinePart(m.start(1), m.end(1), m.group(1)) <TAB> return None",if m . start ( 1 ) <= cursor_offset and m . end ( 1 ) >= cursor_offset :,100
"def test_websocket_subscription_break(event_loop, client_and_server, subscription_str): <TAB> session, server = client_and_server <TAB> count = 10 <TAB> subscription = gql(subscription_str.format(count=count)) <TAB> async for result in session.subscribe(subscription): <TAB>  <TAB> number = result[""number""] <TAB>  <TAB> print(f""Number received: {number}"") <TAB>  <TAB> assert number == count <MASK> # Note: the following line is only necessary for pypy3 v3.6.1 <TAB>  <TAB>  <TAB> await session._generator.aclose() <TAB>  <TAB>  <TAB> break <TAB>  <TAB> count -= 1 <TAB> assert count == 5",if count <= 5 :,162
"def get(self): <TAB> throttled_providers = list_throttled_providers() <TAB> for i in range(len(throttled_providers)): <TAB>  <TAB> throttled_providers[i][1] = ( <TAB>  <TAB>  <TAB> throttled_providers[i][1] <MASK> else ""Good"" <TAB>  <TAB> ) <TAB>  <TAB> throttled_providers[i][2] = ( <TAB>  <TAB>  <TAB> throttled_providers[i][2] if throttled_providers[i][2] != ""now"" else ""-"" <TAB>  <TAB> ) <TAB> return jsonify(data=throttled_providers)",if throttled_providers [ i ] [ 1 ] is not None,159
"def dict_merge(source, target): <TAB> if not isinstance(source, dict) or not isinstance(target, dict): <TAB>  <TAB> return source <TAB> src = deepcopy(source) <TAB> dst = deepcopy(target) <TAB> for key, val in src.items(): <TAB>  <TAB> if key in dst and is_list_of_dict(val) and is_list_of_dict(dst[key]): <TAB>  <TAB>  <TAB> for dst_elem in dst[key]: <TAB>  <TAB>  <TAB>  <TAB> for each_key in dst_elem.keys(): <MASK> src[key].append(dst_elem) <TAB> return src","if not is_key_exist ( each_key , val ) :",161
"def __eq__(self, other): <TAB> if isinstance(other, PoXliffUnit): <TAB>  <TAB> if len(self.units) != len(other.units): <TAB>  <TAB>  <TAB> return False <MASK> return False <TAB>  <TAB> for i in range(len(self.units) - 1): <TAB>  <TAB>  <TAB> if not self.units[i + 1] == other.units[i + 1]: <TAB>  <TAB>  <TAB>  <TAB> return False <TAB>  <TAB> return True <TAB> if len(self.units) <= 1: <TAB>  <TAB> if isinstance(other, lisa.LISAunit): <TAB>  <TAB>  <TAB> return super(PoXliffUnit, self).__eq__(other) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> return self.source == other.source and self.target == other.target <TAB> return False","if not super ( PoXliffUnit , self ) . __eq__ ( other ) :",197
"def cb_syncthing_device_sync_progress(self, daemon, device_id, sync): <TAB> if device_id in self.devices: <TAB>  <TAB> device = self.devices[device_id] <TAB>  <TAB> device[""sync""] = ""%3.f%%"" % (sync * 100.0) <TAB>  <TAB> if not device[""connected""]: <TAB>  <TAB>  <TAB> device.set_color_hex(COLOR_DEVICE_OFFLINE) <TAB>  <TAB>  <TAB> device.set_status(_(""Disconnected"")) <MASK> device.set_color_hex(COLOR_DEVICE_SYNCING) <TAB>  <TAB>  <TAB> device.set_status(_(""Syncing""), sync) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> device.set_color_hex(COLOR_DEVICE_CONNECTED) <TAB>  <TAB>  <TAB> device.set_status(_(""Up to Date""))",elif sync >= 0.0 and sync < 0.99 :,197
def body(): <TAB> with tf.control_dependencies(fn_device_dependency_dict()[key]): <TAB>  <TAB> yield outs <TAB>  <TAB> assert outs <TAB>  <TAB> deps = outs <MASK> assert len(outs) == 1 <TAB>  <TAB>  <TAB> deps = outs[0] <TAB>  <TAB> fn_device_dependency_dict()[key] = deps,"if isinstance ( outs [ 0 ] , ( list , tuple ) ) :",90
"def find_mos(parent, lst=[]): <TAB> for f in os.listdir(parent): <TAB>  <TAB> fp = os.path.join(parent, f) <MASK> find_mos(fp, lst) <TAB>  <TAB> elif fp.endswith("".mo""): <TAB>  <TAB>  <TAB> lst += [fp] <TAB> return lst",if os . path . isdir ( fp ) :,85
"def __init__(self, **kwargs): <TAB> for key, default, required in self.properties: <TAB>  <TAB> if key in kwargs: <TAB>  <TAB>  <TAB> value = kwargs[key] <MASK> raise exceptions.PropertyRequiredError(self.__class__.__name__, key) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> value = default <TAB>  <TAB>  <TAB> if type(value) is type: <TAB>  <TAB>  <TAB>  <TAB> value = value() <TAB>  <TAB> setattr(self, key, value)",elif required :,109
def on_poll_start(self): <TAB> for channel in self._channels: <MASK> # BRPOP mode? <TAB>  <TAB>  <TAB> if channel.qos.can_consume(): <TAB>  <TAB>  <TAB>  <TAB> self._register_BRPOP(channel) <TAB>  <TAB> if channel.active_fanout_queues:  # LISTEN mode? <TAB>  <TAB>  <TAB> self._register_LISTEN(channel),if channel . active_queues :,97
"def add_parts(self, *parts): <TAB> """"""Add one or more parts to a library."""""" <TAB> from .defines import TEMPLATE <TAB> for part in flatten(parts): <TAB>  <TAB> # Parts with the same name are not allowed in the library. <TAB>  <TAB> # Also, do not check the backup library to see if the parts <TAB>  <TAB> # are in there because that's probably a different library. <MASK> self.parts.append(part.copy(dest=TEMPLATE)) <TAB> return self","if not self . get_parts ( use_backup_lib = False , name = re . escape ( part . name ) ) :",138
"def _get_node_ip(self, node_name): <TAB> ret = self.corev1client.list_node() <TAB> ip = """" <TAB> for i in ret.items: <TAB>  <TAB> for addr in i.status.addresses: <TAB>  <TAB>  <TAB> if addr.type == ""ExternalIP"": <TAB>  <TAB>  <TAB>  <TAB> ip = addr.address <MASK> ip = addr.address <TAB>  <TAB>  <TAB> else: <TAB>  <TAB>  <TAB>  <TAB> continue <TAB> return ip","elif addr . type == ""InternalIP"" :",119
"def set(self, value: Union[str, List]) -> Optional[str]: <TAB> """"""Set the list given a comma-separated string or a list"""""" <TAB> error = None <TAB> if value is not None: <TAB>  <TAB> if not isinstance(value, list): <MASK> value = value.split() <TAB>  <TAB>  <TAB> else: <TAB>  <TAB>  <TAB>  <TAB> value = RE_PARAMFINDER.findall(value) <TAB>  <TAB> if self.__validation: <TAB>  <TAB>  <TAB> error, value = self.__validation(value) <TAB>  <TAB> if not error: <TAB>  <TAB>  <TAB> super().set(value) <TAB> return error","if '""' not in value and "","" not in value :",152
"def it_should_eventually_have_only_num_tasks(context, num): <TAB> num = int(num) <TAB> for _ in range(60): <TAB>  <TAB> actual_num = len( <TAB>  <TAB>  <TAB> [ <TAB>  <TAB>  <TAB>  <TAB> p <TAB>  <TAB>  <TAB>  <TAB> for p in context.scheduler.task_store.get_all_tasks().values() <TAB>  <TAB>  <TAB>  <TAB> if p.mesos_task_state == TASK_RUNNING <TAB>  <TAB>  <TAB> ] <TAB>  <TAB> ) <MASK> return <TAB>  <TAB> time.sleep(1) <TAB> raise Exception(""Expected <= %d tasks before timeout, saw %d"" % (num, actual_num))",if actual_num <= num :,158
"def label_variants(self, variants, region=None): <TAB> for variant in variants: <TAB>  <TAB> is_confident, truth_variant = self._match( <TAB>  <TAB>  <TAB> variant_utils.unphase_all_genotypes(variant) <TAB>  <TAB> ) <TAB>  <TAB> genotype = None <MASK> genotype = _genotype_from_matched_truth(variant, truth_variant) <TAB>  <TAB> yield variant_labeler.VariantLabel( <TAB>  <TAB>  <TAB> is_confident=is_confident, variant=variant, genotype=genotype <TAB>  <TAB> )",if truth_variant is not None :,137
"def load_theme_config(self, name): <TAB> r = super(PDBPowerline, self).load_theme_config(name) <TAB> theme_overrides = os.environ.get(""POWERLINE_THEME_OVERRIDES"") <TAB> if theme_overrides: <TAB>  <TAB> theme_overrides_dict = mergeargs(parse_override_var(theme_overrides)) <MASK> mergedicts(r, theme_overrides_dict[name]) <TAB> return r",if name in theme_overrides_dict :,116
"def encode(self, json_line): <TAB> data = json.loads(json_line) <TAB> ids = {} <TAB> for key in self.args.json_keys: <TAB>  <TAB> text = data[key] <TAB>  <TAB> doc_ids = [] <TAB>  <TAB> for sentence in Encoder.splitter.tokenize(text): <TAB>  <TAB>  <TAB> sentence_ids = Encoder.tokenizer.tokenize(sentence) <TAB>  <TAB>  <TAB> if len(sentence_ids) > 0: <TAB>  <TAB>  <TAB>  <TAB> doc_ids.append(sentence_ids) <MASK> doc_ids[-1].append(Encoder.tokenizer.eod) <TAB>  <TAB> ids[key] = doc_ids <TAB> return ids, len(json_line)",if self . args . append_eod :,170
"def __setitem__(self, key, value): <TAB> if not isinstance(key, str): <TAB>  <TAB> raise TypeError(""key must be a str instance"") <TAB> if value is not None: <TAB>  <TAB> value = self.serializer.dumps(value) <TAB> with self._session() as session: <TAB>  <TAB> obj = self._query(session).filter_by(key=key).first() <MASK> obj = models.StorageData(namespace=self.namespace, key=key) <TAB>  <TAB> obj.value = value <TAB>  <TAB> session.add(obj) <TAB>  <TAB> session.commit()",if obj is None :,139
"def _allowed(self, public_key, policy): <TAB> for entry in policy.entries: <TAB>  <TAB> if entry.type == Policy.PERMIT_KEY: <TAB>  <TAB>  <TAB> if public_key == entry.key or entry.key == ""*"": <TAB>  <TAB>  <TAB>  <TAB> return True <MASK> if public_key == entry.key or entry.key == ""*"": <TAB>  <TAB>  <TAB>  <TAB> return False <TAB> # Default last entry is always DENY all <TAB> return False",elif entry . type == Policy . DENY_KEY :,117
"def _set_random_joint_angles(physics, random, max_attempts=1000): <TAB> """"""Sets the joints to a random collision-free state."""""" <TAB> for _ in range(max_attempts): <TAB>  <TAB> randomizers.randomize_limited_and_rotational_joints(physics, random) <TAB>  <TAB> # Check for collisions. <TAB>  <TAB> physics.after_reset() <MASK> break <TAB> else: <TAB>  <TAB> raise RuntimeError( <TAB>  <TAB>  <TAB> ""Could not find a collision-free state "" <TAB>  <TAB>  <TAB> ""after {} attempts"".format(max_attempts) <TAB>  <TAB> )",if physics . data . ncon == 0 :,150
"def findall(self, name, recursive=False): <TAB> """"""Recursively find all child atoms by specified name."""""" <TAB> if self.children is not None: <TAB>  <TAB> for child in self.children: <TAB>  <TAB>  <TAB> if child.name == name: <TAB>  <TAB>  <TAB>  <TAB> yield child <MASK> for atom in child.findall(name, True): <TAB>  <TAB>  <TAB>  <TAB>  <TAB> yield atom",if recursive :,94
"def json(self): <TAB> prop_collection = {} <TAB> props = dir(self) <TAB> for prop in props: <TAB>  <TAB> if prop.startswith(""_""): <TAB>  <TAB>  <TAB> continue <TAB>  <TAB> prop_obj = getattr(self, prop) <TAB>  <TAB> if isinstance(prop_obj, (str, int, bool, float)): <TAB>  <TAB>  <TAB> prop_collection[prop] = prop_obj <MASK> prop_collection[prop] = prop_obj.timestamp() <TAB> return prop_collection","elif isinstance ( prop_obj , datetime . datetime ) :",124
"def test_move_items(item_name): <TAB> """"""Ensure that everything loads correctly."""""" <TAB> try: <TAB>  <TAB> getattr(six.moves, item_name) <TAB> except AttributeError: <TAB>  <TAB> if item_name == ""zip_longest"" and sys.version_info < (2, 6): <TAB>  <TAB>  <TAB> py.test.skip(""zip_longest only available on 2.6+"") <TAB> except ImportError: <MASK> py.test.skip(""Windows only module"") <TAB>  <TAB> if item_name.startswith(""tkinter"") and not have_tkinter: <TAB>  <TAB>  <TAB> py.test.skip(""requires tkinter"") <TAB>  <TAB> raise","if item_name == ""winreg"" and not sys . platform . startswith ( ""win"" ) :",163
"def test_negation(all_values): <TAB> for values in [{""guid_2"", ""guid_1""}, {""guid_5"", ""guid_9""}, {""guid_2""}]: <TAB>  <TAB> test_predicate = in_negate(in_set(values, ""volume_guid"")) <TAB>  <TAB> included_values = set() <TAB>  <TAB> for val in all_values: <MASK> included_values.add(val) <TAB>  <TAB> assert included_values == all_values.difference(values)","if test_predicate . do_include ( { ""volume_guid"" : val } ) :",130
"def recv_nonblocking(self, size): <TAB> self.sock.settimeout(0) <TAB> try: <TAB>  <TAB> ret = self.recv(size) <TAB> except socket.error as e: <TAB>  <TAB> # 10035 no data when nonblocking <TAB>  <TAB> if e.args[0] == 10035:  # errno.EWOULDBLOCK: errno is not always right <TAB>  <TAB>  <TAB> ret = None <TAB>  <TAB> # 10053 connection abort by client <TAB>  <TAB> # 10054 connection reset by peer <MASK> # errno.ECONNABORTED: <TAB>  <TAB>  <TAB> raise <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> raise <TAB> return ret","elif e . args [ 0 ] in [ 10053 , 10054 ] :",159
"def subscribe_and_distribute(sub_socket): <TAB> global participants <TAB> while True: <TAB>  <TAB> msg = sub_socket.recv_pyobj() <TAB>  <TAB> for ws, name_id in participants.items(): <TAB>  <TAB>  <TAB> to_send = name_id.unpack_message(msg) <MASK> try: <TAB>  <TAB>  <TAB>  <TAB>  <TAB> ws.send(to_send) <TAB>  <TAB>  <TAB>  <TAB> except: <TAB>  <TAB>  <TAB>  <TAB>  <TAB> del participants[ws]",if to_send :,118
"def construct_map(client, d=None, interfaces=None): <TAB> if d is None: <TAB>  <TAB> d = {} <TAB> if interfaces is None: <TAB>  <TAB> interfaces = get_interfaces() <TAB> for path, interface in interfaces: <TAB>  <TAB> if len(path) > 0: <TAB>  <TAB>  <TAB> key = path.pop(0) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> key = None <TAB>  <TAB> if key == ""*"": <TAB>  <TAB>  <TAB> key = None <MASK> d[key] = interface(client) <TAB>  <TAB>  <TAB> continue <TAB>  <TAB> value = d.get(key, {}) <TAB>  <TAB> if type(value) is not dict: <TAB>  <TAB>  <TAB> value = {None: value} <TAB>  <TAB> construct_map(client, value, [(path, interface)]) <TAB>  <TAB> d[key] = value <TAB> return d",if len ( path ) == 0 :,196
"def _terminal_read_until_regexp(self, expected_list): <TAB> max_time = time.time() + self._timeout <TAB> regexp_list = [re.compile(rgx) for rgx in expected_list] <TAB> out = self._terminal_emulator.read_until_regexp(regexp_list) <MASK> return True, out <TAB> while time.time() < max_time: <TAB>  <TAB> output = self.expect(regexp_list, self._terminal_frequency)[-1] <TAB>  <TAB> self._terminal_emulator.feed(output) <TAB>  <TAB> out = self._terminal_emulator.read_until_regexp(regexp_list) <TAB>  <TAB> if out: <TAB>  <TAB>  <TAB> return True, out <TAB> return False, self._terminal_emulator.read()",if out :,179
def closure(table): <TAB> modules = list(table.keys()) <TAB> # <TAB> # Initialize reach with a copy of table <TAB> # <TAB> reach = {} <TAB> for mod in modules: <TAB>  <TAB> reach[mod] = table[mod][:] <TAB> # <TAB> # Iterate until no more change <TAB> # <TAB> change = 1 <TAB> while change: <TAB>  <TAB> change = 0 <TAB>  <TAB> for mod in modules: <TAB>  <TAB>  <TAB> for mo in reach[mod]: <TAB>  <TAB>  <TAB>  <TAB> if mo in modules: <TAB>  <TAB>  <TAB>  <TAB>  <TAB> for m in reach[mo]: <MASK> reach[mod].append(m) <TAB>  <TAB>  <TAB>  <TAB>  <TAB>  <TAB>  <TAB> change = 1 <TAB> # <TAB> return reach,if m not in reach [ mod ] :,178
"def runVdb(vivgui, pid=None): <TAB> try: <TAB>  <TAB> db = vdb.Vdb() <TAB>  <TAB> extendVdb(db, vivgui) <TAB>  <TAB> vgui = vdb_qt_main.VdbWindow(db) <TAB>  <TAB> vgui.show() <MASK> fireattach(db.trace, pid) <TAB> except Exception as e: <TAB>  <TAB> vivgui.vw.vprint(""Error Running VDB: %s"" % e)",if pid is not None :,123
"def deleteDescendents(p, cond, dtor=None, descendAnyway=False, _culls=0): <TAB> childs = [child.copy() for child in p.children()] <TAB> childs.reverse() <TAB> for child in childs: <TAB>  <TAB> if descendAnyway or not cond(child): <TAB>  <TAB>  <TAB> _culls += deleteDescendents( <TAB>  <TAB>  <TAB>  <TAB> child, cond, dtor=dtor, descendAnyway=descendAnyway <TAB>  <TAB>  <TAB> ) <TAB>  <TAB> if cond(child): <TAB>  <TAB>  <TAB> _culls += 1 <MASK> dtor(child) <TAB>  <TAB>  <TAB> else: <TAB>  <TAB>  <TAB>  <TAB> child.doDelete() <TAB> return _culls",if dtor :,174
"def computeWidth(s, tab_width): <TAB> w = 0 <TAB> for ch in s: <TAB>  <TAB> if ch == ""\t"": <TAB>  <TAB>  <TAB> w += abs(tab_width) - (w % abs(tab_width)) <MASK> # Bug fix: 2012/06/05. <TAB>  <TAB>  <TAB> break <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> w += 1 <TAB> return w","elif ch == ""\n"" :",96
"def queryset_to_csv(self): <TAB> csv_data = [ <TAB>  <TAB> # Headers <TAB>  <TAB> "","".join([""pdu"", ""outlet"", ""device"", ""power_port"", ""reachable""]) <TAB> ] <TAB> for obj in self.queryset: <TAB>  <TAB> csv = csv_format( <TAB>  <TAB>  <TAB> [ <TAB>  <TAB>  <TAB>  <TAB> obj._path.destination.device.identifier <MASK> else None, <TAB>  <TAB>  <TAB>  <TAB> obj._path.destination.name if obj._path.destination else None, <TAB>  <TAB>  <TAB>  <TAB> obj.device.identifier, <TAB>  <TAB>  <TAB>  <TAB> obj.name, <TAB>  <TAB>  <TAB>  <TAB> obj._path.is_active, <TAB>  <TAB>  <TAB> ] <TAB>  <TAB> ) <TAB>  <TAB> csv_data.append(csv) <TAB> return ""\n"".join(csv_data)",if obj . _path . destination,192
"def tokenizer_marker(self, side=""src""): <TAB> """"""Return marker used in `side` tokenizer."""""" <TAB> marker = None <TAB> if self.tokenizers_opt is not None: <TAB>  <TAB> tokenizer_type = self.tokenizers_opt[side].get(""type"", None) <TAB>  <TAB> if tokenizer_type == ""pyonmttok"": <TAB>  <TAB>  <TAB> params = self.tokenizers_opt[side].get(""params"", None) <TAB>  <TAB>  <TAB> if params is not None: <MASK> marker = ""joiner"" <TAB>  <TAB>  <TAB>  <TAB> elif params.get(""spacer_annotate"", None) is not None: <TAB>  <TAB>  <TAB>  <TAB>  <TAB> marker = ""spacer"" <TAB>  <TAB> elif tokenizer_type == ""sentencepiece"": <TAB>  <TAB>  <TAB> marker = ""spacer"" <TAB> return marker","if params . get ( ""joiner_annotate"" , None ) is not None :",193
"def add_stats(self, *stats): <TAB> for stat in stats: <TAB>  <TAB> if stat not in self.stats_keys: <TAB>  <TAB>  <TAB> self.stats_keys.append(stat) <TAB>  <TAB> for i in self.intervals: <MASK> self.stats[i][stat] = []",if stat not in self . stats [ i ] :,84
"def update_dict(d, u):  # for deep dictionary update <TAB> for k, v in u.items(): <MASK> if isinstance(v, collections.Mapping): <TAB>  <TAB>  <TAB>  <TAB> r = update_dict(d.get(k, {}), v) <TAB>  <TAB>  <TAB>  <TAB> d[k] = r <TAB>  <TAB>  <TAB> else: <TAB>  <TAB>  <TAB>  <TAB> d[k] = u[k] <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> d = {k: u[k]} <TAB> return d","if isinstance ( d , collections . Mapping ) :",125
"def temp_file(root_dir=None): <TAB> fdesc, file_ = mkstemp(dir=root_dir) <TAB> yield file_ <TAB> os.close(fdesc) <TAB> try: <TAB>  <TAB> os.unlink(file_) <TAB> except (IOError, OSError): <MASK> logger.error( <TAB>  <TAB>  <TAB>  <TAB> ""Ignoring IOError raised when trying to delete"" <TAB>  <TAB>  <TAB>  <TAB> "" temp file %s created in `temp_file` context"" <TAB>  <TAB>  <TAB>  <TAB> "" manager"", <TAB>  <TAB>  <TAB>  <TAB> file_, <TAB>  <TAB>  <TAB> ) <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> raise","if ""Windows"" in platform . system ( ) :",146
"def _get_ignore_value(self, input_dtype): <TAB> ignore_value = self.ignore_value <TAB> if ignore_value is None: <MASK> ignore_value = """" <TAB>  <TAB> elif input_dtype.is_integer: <TAB>  <TAB>  <TAB> ignore_value = -1 <TAB>  <TAB> else: <TAB>  <TAB>  <TAB> return None <TAB> return tf.cast(ignore_value, input_dtype)",if input_dtype == tf . string :,104
"def _first_iteration(self) -> t.Tuple[t.Optional[bytes], int]: <TAB> chunk = None <TAB> if self.seekable: <TAB>  <TAB> self.iterable.seek(self.start_byte)  # type: ignore <TAB>  <TAB> self.read_length = self.iterable.tell()  # type: ignore <TAB>  <TAB> contextual_read_length = self.read_length <TAB> else: <TAB>  <TAB> while self.read_length <= self.start_byte: <TAB>  <TAB>  <TAB> chunk = self._next_chunk() <MASK> chunk = chunk[self.start_byte - self.read_length :] <TAB>  <TAB> contextual_read_length = self.start_byte <TAB> return chunk, contextual_read_length",if chunk is not None :,175
"def parse_command_line(source): <TAB> state = ParserState(source) <TAB> parse_func = parse_line_ref <TAB> # Create empty command line. <TAB> command_line = CommandLineNode(None, None) <TAB> while True: <TAB>  <TAB> parse_func, command_line = parse_func(state, command_line) <MASK> command_line.validate() <TAB>  <TAB>  <TAB> return command_line",if parse_func is None :,104
